policy,country,status,explanation,source
Requires halal certification for pharmaceutical products.,Vietnam,UNKNOWN,"As of August 2025, Vietnam has established the National Halal Certification Center (HALCERT) and is drafting a decree on the management of Halal products and services, but specific requirements for Halal certification of pharmaceutical products have not been detailed. ([vietnamnews.vn](https://vietnamnews.vn/Economy/1654538/viet-nam-launches-national-halal-certification-authority.html?utm_source=openai), [food.chemlinked.com](https://food.chemlinked.com/news/food-news/vietnam-to-establish-decree-for-halal-products-and-services?utm_source=openai))","https://vietnamnews.vn/economy/1654538/viet-nam-launches-national-halal-certification-authority.html,https://food.chemlinked.com/news/food-news/vietnam-to-establish-decree-for-halal-products-and-services"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Vietnam,NO,"Vietnam does not mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products; instead, the labeling requirements include the 'Rx' symbol and specific text indicating prescription status.",https://thuvienphapluat.vn/van-ban/EN/The-thao-Y-te/Circular-01-2018-TT-BYT-on-labeling-and-package-inserts-of-drugs-and-medicinal-ingredients/374161/tieng-anh.aspx
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Vietnam,PARTIAL,"Vietnam's Circular 12/2025/TT-BYT, effective July 1, 2025, sets marketing authorization (MA) approval timelines of 12 months for new drug registrations and 9 months for reference-based assessments, with expedited procedures allowing approvals in as little as 3 to 6 months for urgent cases.","https://aliatenforcer.com/resources/legal-updates-en/vietnam-circular-12-2025-marketing-authorization-pharmaceutical/,https://globaladvisoryexperts.com/drug-registration-in-vietnam-guide-for-foreign-companies-p2/"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Vietnam,PARTIAL,"Vietnam's Ministry of Health mandates that certain 'reserved' antibiotics should only be dispensed after consultation with a hospital's Drug and Therapeutics Committee, but enforcement is inconsistent, leading to continued availability of these antibiotics outside hospital settings. ([bmcpublichealth.biomedcentral.com](https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-13-1158?utm_source=openai))",https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-13-1158
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Vietnam,PARTIAL,"Vietnam has established national AMR surveillance systems and publishes data on antimicrobial use and resistance in both human and animal health sectors, but comprehensive, publicly accessible national reports specifically related to pharmaceutical products are limited.","https://pmc.ncbi.nlm.nih.gov/articles/PMC11331946/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8298034/,https://www.cdc.gov/globalhealth/healthprotection/fieldupdates/winter-2017/vietnam-tracks-bacteria.html"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Laos,NO,"Laos, as a member of the Association of Southeast Asian Nations (ASEAN), follows the ASEAN Common Technical Dossier (ACTD) format for pharmaceutical product registrations, which differs from the International Council for Harmonisation (ICH) Common Technical Document (CTD) format.","https://www.pharmatutor.org/articles/registration-dossier-pharmaceuticals,https://www.productlifegroup.com/introduction-asean-common-technical-dossier-actd-pharmaceutical-registration/"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Laos,NO,Laos does not provide a fully digital online submission portal for pharmaceutical product marketing authorization applications; the process involves submitting physical forms and documents to the Food and Drug Department (FDD) under the Ministry of Health.,"https://credevo.com/articles/2021/04/25/generic-drug-approval-process-in-laos/,https://omcmedical.com/laos-drug-product-registration/"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Laos,PARTIAL,"Laos is a signatory to the ASEAN Mutual Recognition Arrangement (MRA) on GMP Inspection, which obliges member states to recognize GMP certificates from ASEAN Listed Inspection Services (LIS), but as of 2021, only five ASEAN member states have been included in the ASEAN Register of LIS, and Laos is not among them.",https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Laos,YES,"Laos permits stability data submission for pharmaceutical products at 25°C/60% RH when supported by accelerated stability studies, in line with ASEAN Common Technical Dossier (ACTD) and ASEAN Guidelines for the Stability of Drug Products, to which Laos adheres as an ASEAN member state.","https://www.asean.org/wp-content/uploads/images/2013/february/pharmaceuticals/Appendix-1.pdf,https://www.fda.gov.la/index.php/regulations/registration.html"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Laos,UNKNOWN,There is no readily available official information confirming whether Laos allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,
Requires halal certification for pharmaceutical products.,Laos,UNKNOWN,"As of August 2025, there is no publicly available information indicating that Laos mandates halal certification for pharmaceutical products. However, the Lao government has initiated projects to enhance local manufacturers' productivity to meet halal certification standards for exports, suggesting a growing emphasis on halal compliance in various sectors. ([laotiantimes.com](https://laotiantimes.com/2025/05/14/laos-launches-halal-certification-project-to-boost-exports/?utm_source=openai))",https://laotiantimes.com/2025/05/14/laos-launches-halal-certification-project-to-boost-exports/
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Laos,NO,"There is no evidence that Laos specifically mandates the use of a 'red dot' symbol to designate prescription-only pharmaceutical products, as regulations regarding drug labeling do not mention this requirement.","https://laos.voith.com/en/industry-solutions/healthcare-pharmaceuticals.html,https://www.fda.gov.la/pm/content/legal-framework,https://www.thepharmaletter.com/article/laos-approves-new-pharma-import-rules"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Laos,YES,"Laos targets a marketing authorization approval timeline of approximately six months for pharmaceutical products, as the Food and Drug Department (FDD) aims to complete the evaluation within 180 days upon receiving a complete application.",https://credevo.com/articles/2021/04/25/generic-drug-approval-process-in-laos/
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Laos,UNKNOWN,There is no specific information available regarding hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products in Laos.,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Laos,YES,"Laos publishes national antimicrobial resistance (AMR) surveillance data through platforms like LaoAMR.net, which provides dashboards for tracking AMR and antimicrobial use (AMU) trends.",https://laoamr.net/
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Brunei,PARTIAL,"Brunei, as a member of ASEAN, primarily accepts the ASEAN Common Technical Dossier (ACTD) format for pharmaceutical product registrations, which is similar to the ICH CTD but tailored to regional requirements.",https://www.productlifegroup.com/introduction-asean-common-technical-dossier-actd-pharmaceutical-registration/
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Brunei,NO,Brunei does not provide a fully digital online submission portal for pharmaceutical product marketing authorization applications; submissions are made by appointment at the Department of Pharmaceutical Services.,https://moh.gov.bn/services/pharmary-services/
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Brunei,NO,"Brunei has not ratified the ASEAN Mutual Recognition Arrangement (MRA) for Good Manufacturing Practice (GMP) Inspection of Manufacturers of Medicinal Products, and therefore does not legally require acceptance of another ASEAN Member State's cGMP certificates. ([en.fda.moph.go.th](https://en.fda.moph.go.th/international-relation/category/cat-international-cooperation/?utm_source=openai))",https://en.fda.moph.go.th/international-relation/category/cat-international-cooperation/
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Brunei,YES,"Brunei allows stability data submissions for pharmaceutical products at 25°C/60% RH when supported by accelerated stability studies, aligning with ASEAN guidelines, which Brunei follows as an ASEAN member state.","https://www.npra.gov.my/easyarticles/images/users/1046/ASEAN-Stability-Guideline.pdf,https://www.pnbd.gov.bn/Lists/Regulatory%20Documents/Attachments/58/Guideline%20on%20Stability%20Data%20Requirement%20for%20Drug%20Registration.pdf"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Brunei,UNKNOWN,"Specific information regarding Brunei's acceptance of bracketing and matrixing study designs in pharmaceutical stability testing is not readily available. However, Brunei is a member of the Association of Southeast Asian Nations (ASEAN), which has adopted guidelines similar to the International Council for Harmonisation (ICH) Q1D, allowing the use of bracketing and matrixing designs. Therefore, it is likely that Brunei permits these approaches, but confirmation from Brunei's regulatory authorities is recommended.",https://www.slideshare.net/slideshow/stability-asean-guidelines/77056896
Requires halal certification for pharmaceutical products.,Brunei,NO,"Brunei does not require halal certification for all pharmaceutical products, as essential medicines and medical devices are exempted from mandatory halal certification, though non-essential products such as traditional medicines and supplements may be subject to such requirements.","https://www.zawya.com/en/economy/southeast-asia/brunei-unveils-halal-pharma-guidelines-tz9dy25k,https://www.salaamgateway.com/story/brunei-unveils-halal-guidelines-for-pharmaceutical-products"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Brunei,UNKNOWN,Available sources do not specify whether Brunei mandates a 'red dot' symbol on prescription-only pharmaceutical products.,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Brunei,UNKNOWN,There is no readily available information confirming that Brunei targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Brunei,NO,"Brunei does not impose hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products; all antimicrobials are classified as prescription-only medicines that can be prescribed by registered professionals and dispensed in various healthcare settings, including community pharmacies.","https://www.thelancet.com/journals/lanwpc/article/PIIS2666-6065%2820%2930084-5/fulltext,https://moh.gov.bn/services/pharmary-services/"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Brunei,NO,"Brunei does not publish national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products. While the country has developed an Antimicrobial Resistance National Action Plan for 2019–2023, which includes objectives such as strengthening surveillance through a national coordinating center and scaling up existing policies in infection prevention and control, there is no evidence that Brunei has established a national AMR surveillance system or publishes related data. ([informea.org](https://www.informea.org/en/content/legislation/antimicrobial-resistance-national-action-plan-2019-2023?utm_source=openai))",https://www.informea.org/en/content/legislation/antimicrobial-resistance-national-action-plan-2019-2023
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Thailand,YES,Thailand's Food and Drug Administration accepts the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,https://en.fda.moph.go.th/our-services-new/our-services-pharmaceutical-product-registration-and-approval
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Thailand,YES,Thailand provides a fully digital online submission portal called the Thai FDA Electronic Submission System (e-Submission) for pharmaceutical product marketing authorization applications.,"https://www.fda.moph.go.th/sites/oss/Pages/eSubmissionSystem.aspx,https://www.thaifda.com/newsdetail?topic=3407"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Thailand,YES,"Thailand is legally obligated to accept GMP certificates from ASEAN Member States' inspection services listed under the ASEAN Sectoral Mutual Recognition Arrangement (MRA) on GMP Inspection, signed in 2009, which mandates mutual recognition of GMP certificates among ASEAN countries.","https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/,https://en.fda.moph.go.th/international-relation/category/cat-international-cooperation/"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Thailand,NO,"Thailand, as part of the ASEAN region, requires long-term stability data at 30°C ± 2°C/75% RH ± 5% RH and does not accept data at 25°C/60% RH, even if supported by accelerated stability studies.","https://www.stabilitystudies.in/bridging-regional-differences-comparing-fda-ema-and-asean-guidelines/,https://www.stabilitystudies.in/navigating-regional-differences-in-accelerated-stability-conditions"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Thailand,YES,"Thailand allows the use of bracketing and matrixing designs for stability testing of pharmaceutical products, provided justification is submitted and approved by the Thai FDA, based on ASEAN Common Technical Dossier (ACTD) guidelines which Thailand adheres to.","https://www.fda.moph.go.th/sites/oss/SitePages/FDA_Doc.aspx?foot=%E0%B8%A2%E0%B8%B2%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88/ACTD%20Guideline%20Version%204.pdf,https://www.who.int/docs/default-source/searo/tha/health-system-development/document-1-asean-harmonization.pdf"
Requires halal certification for pharmaceutical products.,Thailand,NO,"Thailand does not mandate halal certification for pharmaceutical products; however, obtaining such certification is encouraged to cater to Muslim consumers and expand market reach.","https://chinatopforwarder.com/how-to-comply-with-thailand-halal-product-laws-a-step-by-step-guide/,https://halal.or.th/en/document/"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Thailand,NO,"Thailand does not specifically mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products; rather, prescription and non-prescription drugs are generally differentiated by their labels and corresponding categories such as 'dangerous drugs' and 'special-control drugs.'","https://www.fda.moph.go.th/sites/oss/SitePages/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%A0%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%81%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%94.aspx,https://www.trade.gov/country-commercial-guides/thailand-pharmaceuticals,https://ap.fftc.org.tw/article/3121"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Thailand,NO,"Thailand's Food and Drug Administration (Thai FDA) does not target an average marketing authorization (MA) approval timeline of six months or less; typical approval timelines for pharmaceutical products can range from 10 to 24 months, depending on the product and regulatory pathway.","https://www.pharmaceutical-technology.com/comment/thai-fda-pharma-regulation/,https://www.clinicaltrialsarena.com/comment/thailand-pharmaceutical-market/,https://www.fda.moph.go.th/sites/oss/Shared%20Documents/Thailand%20Drug%20Registration%20Process.pdf"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Thailand,YES,Thailand imposes hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products as part of its regulatory mechanism to control antimicrobial use and limit their availability in community pharmacies.,"https://apps.who.int/iris/handle/10665/330549,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6875209/"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Thailand,YES,"Thailand publishes national AMR surveillance data through its National Antimicrobial Resistance Surveillance Center, which monitors resistance data for human health, including pharmaceutical-related resistance.","https://narst.dmsc.moph.go.th/,https://www.who.int/publications/i/item/9789240062702"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Myanmar,NO,Myanmar does not currently accept the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations; it utilizes its own national drug registration guidelines and format.,"https://www.cphi.com/asia/en/visit/visit/news/2022/08/25/myanmar-drug-market-size-and-regulatory-landscape.html,https://pharmaboardroom.com/legal-articles/pharma-regulatory-myanmar/"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Myanmar,PARTIAL,"Myanmar's Food and Drug Administration (FDA) has implemented an e-Submission system for pharmaceutical product marketing authorization applications, but physical dossier submission is still required within 60 days after online submission.",https://omcmedical.com/drug-registration-process-in-myanmar/
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Myanmar,PARTIAL,"Myanmar is a signatory to the ASEAN Mutual Recognition Arrangement (MRA) on Good Manufacturing Practice (GMP) Inspection, which obliges member states to recognize GMP certificates issued by ASEAN Listed Inspection Services (LIS); however, Myanmar's Food and Drug Administration (FDA) is not currently listed as an ASEAN LIS, so it may not be legally required to accept GMP certificates from other ASEAN member states.",https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Myanmar,NO,"Myanmar, as part of the ASEAN region, requires long-term stability testing at 30°C ± 2°C/75% RH ± 5% RH, and does not permit stability data submission at 25°C/60% RH, even when supported by accelerated stability studies.",https://pubhtml5.com/otla/smde/basic/
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Myanmar,UNKNOWN,There is no public or easily accessible source confirming whether Myanmar explicitly allows or disallows bracketing and matrixing study designs in pharmaceutical product stability testing.,
Requires halal certification for pharmaceutical products.,Myanmar,UNKNOWN,There is no clear information indicating that Myanmar mandates halal certification for pharmaceutical products.,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Myanmar,UNKNOWN,There is no specific information available regarding Myanmar's mandate for a 'red dot' symbol on prescription-only pharmaceutical products.,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Myanmar,NO,Myanmar does not target an average marketing authorization approval timeline of six months or less; the process typically takes between 6 to 12 months for generic drugs and up to 18 to 24 months for new products.,"https://credevo.com/articles/2021/01/25/myanmar-generic-drug-registration-process/,https://www.researchgate.net/publication/369416351_A_Study_of_Pharmaceutical_Product_Registration_Process_in_Myanmar_-A_First_Step_Towards_Developing_A_Product-Mix"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Myanmar,NO,"Myanmar does not impose hospital-only distribution restrictions for antimicrobial pharmaceutical products, as antibiotics are widely available without prescription in various outlets. ([link.springer.com](https://link.springer.com/chapter/10.1007/978-3-030-27874-8_5?utm_source=openai))",https://link.springer.com/chapter/10.1007/978-3-030-27874-8_5
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Myanmar,PARTIAL,"Myanmar has implemented a national AMR surveillance program in central hospitals and veterinary diagnostic laboratories, but comprehensive, publicly available national AMR surveillance data related to pharmaceutical products is limited.","https://pmc.ncbi.nlm.nih.gov/articles/PMC8315476/,https://www.informea.org/en/content/legislation/myanmar-national-action-plan-containment-antimicrobial-resistance-2017-2022"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Philippines,YES,"The Philippines accepts the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations, as per DOH Administrative Order No. 2013-0021.",https://www.global-regulation.com/law/philippines/471984/doh-administrative-order-no.-2013-0021.html
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Philippines,PARTIAL,"The Philippines has implemented the FDA ePortal System, which allows for online submission of various applications, including pharmaceutical product marketing authorizations, but processing still often involves some offline steps or manual interventions depending on the specific application type.","https://www.fda.gov.ph/online-licensing-portal/,https://www.fda.gov.ph/announcement-fda-eportal-system-for-licensing-and-registration-applications/"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Philippines,YES,The Philippines is legally obligated to accept GMP certificates and inspection reports issued by ASEAN Listed Inspection Services under the ASEAN Mutual Recognition Arrangement on GMP Inspection. ([mfa.gov.sg](https://www.mfa.gov.sg/Overseas-Mission/Ministry-of-Foreign-Affairs---Permanent-Mission-of-the-Republic-of-Singapore/Latest-News-in-ASEAN/2020/01/Philippines-FDA-included-in-list-of-ASEAN-Inspection-Services?utm_source=openai)),https://www.mfa.gov.sg/Overseas-Mission/Ministry-of-Foreign-Affairs---Permanent-Mission-of-the-Republic-of-Singapore/Latest-News-in-ASEAN/2020/01/Philippines-FDA-included-in-list-of-ASEAN-Inspection-Services
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Philippines,NO,"The Philippines requires stability data for pharmaceutical products to be provided at 30°C/75% RH for Zone IVb conditions, and data at 25°C/60% RH is generally not accepted as sufficient unless otherwise justified; accelerated data alone is not adequate.","https://ww2.fda.gov.ph/attachments/article/942851/Annex%20G-Guideline%20for%20Stability%20Data%20Requirement%20of%20Pharmaceutical%20Products.pdf,https://www.pharmaguideline.com/2012/02/stability-study-zones-and-conditions.html"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Philippines,UNKNOWN,The available information does not specify whether the Philippines allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,
Requires halal certification for pharmaceutical products.,Philippines,NO,"The Philippines does not mandate halal certification for pharmaceutical products; however, manufacturers seeking to cater to Muslim consumers or export to Muslim-majority countries often obtain certification voluntarily.","https://en.wikipedia.org/wiki/Halal_certification_in_the_Philippines,https://www.aseanbriefing.com/news/philippines-sets-up-national-halal-office-to-boost-global-trade/"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Philippines,NO,There is no official mandate in the Philippines requiring the use of a 'red dot' symbol specifically on prescription-only pharmaceutical products.,https://www.fda.gov.ph/issuances-2/
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Philippines,PARTIAL,"The Philippines' Food and Drug Administration (FDA) has implemented measures to expedite the approval process for pharmaceutical products, aiming to reduce timelines to 45 days for generic drugs and 30 to 45 working days for new drugs under specific review pathways, but the standard approval process for new drugs may still exceed six months.","https://pco.gov.ph/news_releases/fda-to-shorten-review-approval-process-of-generic-drugs-from-120-days-to-45-days/,https://trade.gov/market-intelligence/philippines-pharmaceuticals,https://www.scribd.com/document/676930245/FDA-Circular-No-2022-004"
