Policy,Country,GPT-4-1,GPT-4o-Mini-2-Pass,Sonar-Pro-2
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Myanmar,UNKNOWN,YES,UNKNOWN
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Philippines,UNKNOWN,YES,YES
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Singapore,YES,YES,YES
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Thailand,YES,YES,YES
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Vietnam,YES,YES,NO
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Brunei,NO,NO,NO
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Cambodia,NO,PARTIAL,NO
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Indonesia,UNKNOWN,PARTIAL,UNKNOWN
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Laos,UNKNOWN,PARTIAL,NO
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Malaysia,YES,YES,NO
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Myanmar,NO,NO,NO
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Philippines,YES,YES,PARTIAL
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Singapore,NO,PARTIAL,NO
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Thailand,YES,NO,NO
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Vietnam,PARTIAL,YES,PARTIAL
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Brunei,NO,YES,UNKNOWN
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Cambodia,NO,YES,NO
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Indonesia,YES,YES,YES
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Laos,PARTIAL,YES,YES
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Malaysia,YES,YES,YES
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Myanmar,PARTIAL,YES,YES
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Philippines,YES,YES,YES
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Singapore,YES,NO,YES
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Thailand,YES,YES,YES
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Vietnam,PARTIAL,PARTIAL,NO
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Brunei,YES,PARTIAL,NO
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Cambodia,UNKNOWN,NO,NO
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Indonesia,NO,PARTIAL,YES
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Laos,YES,PARTIAL,NO
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Malaysia,NO,PARTIAL,YES
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Myanmar,NO,NO,UNKNOWN
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Philippines,NO,YES,NO
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Singapore,PARTIAL,NO,PARTIAL
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Thailand,NO,NO,PARTIAL
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Vietnam,NO,PARTIAL,NO
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Brunei,NO,NO,NO
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Cambodia,PARTIAL,YES,PARTIAL
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Indonesia,YES,YES,YES
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Laos,NO,NO,YES
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Malaysia,YES,YES,YES
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Myanmar,PARTIAL,YES,PARTIAL
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Philippines,PARTIAL,YES,PARTIAL
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Singapore,YES,YES,YES
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Thailand,YES,YES,PARTIAL
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Vietnam,YES,YES,YES
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Brunei,NO,NO,PARTIAL
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Cambodia,PARTIAL,YES,PARTIAL
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Indonesia,PARTIAL,PARTIAL,YES
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Laos,YES,PARTIAL,YES
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Malaysia,YES,YES,YES
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Myanmar,PARTIAL,NO,PARTIAL
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Philippines,YES,YES,YES
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Singapore,YES,YES,YES
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Thailand,YES,PARTIAL,YES
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Vietnam,PARTIAL,PARTIAL,YES
Requires halal certification for pharmaceutical products.,Brunei,NO,YES,NO
Requires halal certification for pharmaceutical products.,Cambodia,UNKNOWN,NO,NO
Requires halal certification for pharmaceutical products.,Indonesia,YES,YES,YES
Requires halal certification for pharmaceutical products.,Laos,UNKNOWN,NO,PARTIAL
Requires halal certification for pharmaceutical products.,Malaysia,PARTIAL,NO,NO
Requires halal certification for pharmaceutical products.,Myanmar,UNKNOWN,NO,NO
Requires halal certification for pharmaceutical products.,Philippines,NO,NO,NO
Requires halal certification for pharmaceutical products.,Singapore,NO,PARTIAL,NO
Requires halal certification for pharmaceutical products.,Thailand,NO,NO,NO
Requires halal certification for pharmaceutical products.,Vietnam,UNKNOWN,NO,NO
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Brunei,UNKNOWN,NO,NO
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Cambodia,UNKNOWN,NO,NO
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Indonesia,YES,YES,NO
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Laos,NO,NO,NO
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Malaysia,NO,NO,NO
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Myanmar,UNKNOWN,NO,UNKNOWN
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Philippines,NO,NO,NO
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Singapore,NO,NO,NO
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Thailand,NO,YES,PARTIAL
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Vietnam,NO,NO,NO
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Brunei,UNKNOWN,NO,NO
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Cambodia,NO,NO,NO
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Indonesia,NO,NO,PARTIAL
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Laos,YES,YES,YES
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Malaysia,NO,NO,NO
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Myanmar,NO,NO,NO
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Philippines,PARTIAL,NO,UNKNOWN
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Singapore,YES,NO,PARTIAL
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Thailand,NO,NO,NO
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Vietnam,PARTIAL,NO,NO
