policy,country,status,explanation,source
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Vietnam,PARTIAL,"Vietnam requires pharmaceutical product registration dossiers to follow the ACTD (Asian Common Technical Dossier) format, but if ACTD arrangement is not feasible, it allows submission in ICH CTD format for innovator drugs and certain biologics[3][1][2].","https://dohapharma.com/pharmaceuticals/,https://international-pharma.com/wp-content/uploads/2017/04/Comparison-of.pdf,https://ijsrm.humanjournals.com/wp-content/uploads/2022/03/6.RamaKishore-E-G-Ravi-Shankar-N-Chagi-Venkatesh-S-B-Puranik.pdf,https://globallawexperts.com/drug-registration-process-in-vietnam-part-i-guide-for-foreign-companies-2025/,https://www.tilleke.com/insights/vietnam-issues-new-regulations-on-drug-registration/7/"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Vietnam,YES,"Vietnam provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the online public service portal of the Drug Administration Department (https://dav.gov.vn), as confirmed in recent 2025 regulatory guides.[2][5]","https://www.artixio.com/post/pharmaceutical-regulations-and-registration-in-vietnam,https://globalreferral.group/drug-registration-in-vietnam-guide-for-foreign-companies-p2/,https://www.tilleke.com/insights/vietnam-issues-new-regulations-on-drug-registration/7/,https://www.vietnam-briefing.com/news/vietnams-amended-pharmaceutical-law-navigating-the-key-changes.html/,https://hmlf.vn/business-sectors/healthcare/drug-registration-process-vietnam-guide-foreign-companies-2025-2/"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Vietnam,NO,"Vietnam does not have a legal requirement to automatically accept another ASEAN Member State’s (AMS) cGMP certificate for pharmaceutical manufacturers; instead, Vietnam recognizes certain international GMP standards (WHO-GMP, EU-GMP, PIC/S-GMP, Japan-GMP, US-cGMP), and may require its own review or inspection of foreign manufacturers, even if an AMS cGMP certificate is provided.[5][2]","http://vietnamlawmagazine.vn/cosmetic-producers-must-meet-cgmp-asean-standards-5253.html,https://www.pacificbridgemedical.com/news-brief/new-gmp-requirements-for-pharmaceutical-manufacturers-in-vietnam/,https://longphanpmt.com/en/cosmetics-factory-standards-meet-cgmp-standards/,https://www.hsa.gov.sg/docs/default-source/hprg/regulatory-updates/update-on-asean-mra-gmp.PDF,https://hmlf.vn/uncategorized/drug-registration-process-vietnam-guide-foreign-companies-2025/"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Vietnam,NO,"Vietnam, as a Zone IV country, requires long-term stability data at 30°C/75% RH (or 30°C/65% RH), not at 25°C/60% RH, for pharmaceutical product registration; 25°C/60% RH data is not generally accepted except for markets in cooler zones or under special justifications.[1][4]","https://www.pharmoutsourcing.com/Featured-Articles/37672-Regulatory-Strategy-for-Long-Term-Stability-Conditions-to-Support-Submission-in-Zone-IV-Countries/,https://database.ich.org/sites/default/files/Q1F_Stability_Guideline_WHO_2018.pdf,https://www.tilleke.com/insights/vietnam-issues-new-regulations-on-drug-registration/,https://iris.who.int/bitstream/10665/72914/1/18_2_2004,https://clinregs.niaid.nih.gov/sites/default/files/documents/vietnam/BioTestReq_GoogleTranslation.pdf"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Vietnam,NO,"Vietnamese regulations do not explicitly allow bracketing and matrixing study designs for pharmaceutical stability testing; recent guidelines and registration circulars do not reference ICH Q1D or these reduced designs, and require testing according to pharmacopoeia standards and complete stability data in line with national requirements[1][5].","https://www.tilleke.com/insights/vietnam-updates-guidelines-on-drug-quality-standards-testing-and-noncompliance/,https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline,https://clinregs.niaid.nih.gov/sites/default/files/documents/vietnam/BioTestReq_GoogleTranslation.pdf,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-d-bracketing-and-matrixing-designs-stability-testing-drug-substances-and-drug-products-step-5_en.pdf,https://clinregs.niaid.nih.gov/sites/default/files/documents/vietnam/DrugRgstrtn_GoogleTranslation.pdf"
Requires halal certification for pharmaceutical products.,Vietnam,NO,"Vietnam does not require halal certification for pharmaceutical products by default; it is pursued voluntarily by companies primarily for export to halal markets and international buyers, not mandated by Vietnamese law.[1][3][4][5]","https://vietnamnews.vn/economy/1689525/local-herbal-company-becomes-halal-certified.html,https://www.tilleke.com/insights/new-regulations-on-drug-registration-in-vietnam/21/,https://www.halaltimes.com/vietnams-halal-products-take-center-stage-in-malaysia/,https://www.halaltimes.com/vietnam-pm-pushes-for-halal-expansion/,https://www.vietnam-briefing.com/news/vietnam-strategic-exports-push-into-the-middle-east-halal-market.html/"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Vietnam,NO,"Vietnamese regulations on pharmaceutical labeling, including the latest amendments effective January 2024, do not mandate the use of a 'red dot' symbol to indicate prescription-only drugs; the regulations focus on linguistic requirements, batch identification, and clarity, but do not specify a color-coded or symbolic system for prescription status.[1][5]","https://www.vietnam-briefing.com/doing-business-guide/vietnam/sector-insights/vietnam-updates-regulations-on-pharmaceutical-product-labeling,https://chicagounbound.uchicago.edu/cgi/viewcontent.cgi?article=2753&context=law_and_economics,https://vivabcs.com.vn/resources/representative-office/pharmacy-business-establish-representative-office/,http://www.tsmia.or.th/RTD2022/Self-CARER_e-book_final.pdf,https://clinregs.niaid.nih.gov/sites/default/files/documents/vietnam/MedLabel_GoogleTranslation.pdf"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Vietnam,NO,"Vietnam does not target an average MA approval timeline of six months or less; typical approval timelines for pharmaceutical products are reported as 14–22 months for generics and similarly extended for other categories, with no evidence of a six-month target.[1][3]","https://credevo.com/articles/2021/01/15/vietnam-generic-drug-registration-process/,https://pharmaboardroom.com/legal-reports/the-pharma-legal-handbook-vietnam/,https://www.rginsight.com/registration-of-drug-product-in-vietnam-2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC9734413/,https://patentpanorama.com/blogs/vietnams-new-regulations-on-drug-regulation"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Vietnam,PARTIAL,"Vietnam allows certain AM drugs for special treatment to be distributed only to specific hospitals upon request, but generally does not impose broad hospital-only distribution restrictions for antimicrobial classes; most restrictions focus on prescription-only dispensation and regulatory control rather than exclusive hospital channels[4][1].","https://www.tandfonline.com/doi/full/10.1080/09581596.2024.2303421,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019242/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9948497/,https://www.tilleke.com/sites/default/files/2017_Feb_Marketing_Distribution_Drugs_Vietnam.pdf,https://peercommunityjournal.org/item/10_24072_pcjournal_512/"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Vietnam,YES,"Vietnam publishes national antimicrobial resistance (AMR) surveillance data through a formal surveillance system, mandated by national policy and supported by the Ministry of Health, which gathers and reports standardized AMR data from hospital laboratories across the country[2][3][4].","https://archive.cdc.gov/www_cdc_gov/drugresistance/solutions-initiative/stories/tracking-resistance-in-vietnam.html,https://ghsindex.org/wp-content/uploads/2021/12/Vietnam.pdf,https://pubmed.ncbi.nlm.nih.gov/33971969/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10809436/,https://amr.cgiar.org/case-study/situation-analysis-antimicrobial-resistance-surveillance-and-control-vietnam"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Laos,PARTIAL,"Laos generally accepts the ASEAN Common Technical Document (ACTD) format for pharmaceutical product registrations, but the ICH CTD format is also acceptable in some ASEAN countries; however, there is no clear, explicit evidence that Laos mandates or fully aligns with the ICH CTD, so submissions using ICH CTD formatting may be possible but are not formally required as in ICH member regions.[3][5]","https://www.ijpcbs.com/articles/comparative-study-of-regulatory-requirementsfor-the-compilation-and-approval-of-dossieras-per-ctd-actd-and-ectd-formats.pdf,https://api.pageplace.de/preview/DT0400.9781420081831_A37765401/preview-9781420081831_A37765401.pdf,https://www.productlifegroup.com/extension-us-eu-dossier-asean-countries-cmc-perspective/,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-guideline-m4-r4-common-technical-document-ctd-registration-pharmaceuticals-human-use-organisation-ctd-step-5_en.pdf,https://international-pharma.com/wp-content/uploads/2017/04/Comparison-of.pdf"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Laos,YES,"Laos provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the LAOREG system, which allows online applications and assessment for marketing authorization.","https://www.artixio.com/qatar/pharma/regulatory-affairs,https://pmc.ncbi.nlm.nih.gov/articles/PMC8483304/,https://www.laotradeportal.gov.la/en-gb/site/display/41,https://www.iqvia.com/-/media/iqvia/pdfs/asia-pacific/apac-insight-magazine/iqvia-apac-insight-issue10-vf.pdf,https://laoreg.online/adm/index.php"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Laos,YES,"Laos is a signatory to the ASEAN Sectoral Mutual Recognition Arrangement (MRA) on GMP Inspection, which facilitates acceptance of GMP certificates issued by regulatory authorities of other ASEAN Member States for pharmaceutical manufacturers as part of regulatory harmonization within the region[1][3][5].","https://ipq.org/asean-effort-progressing-on-cmcgmp-harmonization-but-differences-remain/,https://asean.org/wp-content/uploads/images/2013/economic/iai/ASEAN%20Cosmetics%20Directive%20CLMV%20Workshop%20Feb%202013.pdf,https://globalforum.diaglobal.org/issue/september-2018/regulatory-harmonization-and-recognition-continue-in-asean/,https://jicwels.or.jp/files/CountryReports/medicine/2012(H24)_%E5%BF%85%E9%A0%88%E5%8C%BB%E8%96%AC%E5%93%81%E8%A3%BD%E9%80%A0%E5%93%81%E8%B3%AA%E7%AE%A1%E7%90%86%EF%BC%88GMP%EF%BC%89.pdf,http://www.fdd.gov.la/fullnews_en.php?newsID=94"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Laos,NO,"Laos is classified as a WHO Climatic Zone IVa country, which requires stability data at 30°C/65% RH or higher; data at 25°C/60% RH is not accepted for registration unless specifically allowed by the national authority, and there is no evidence Laos permits this substitution.[3][5]","https://humiditycontrol.com/blog/what-is-stability-testing/,https://database.ich.org/sites/default/files/Q1F_Stability_Guideline_WHO_2018.pdf,https://www.pharmoutsourcing.com/Featured-Articles/37672-Regulatory-Strategy-for-Long-Term-Stability-Conditions-to-Support-Submission-in-Zone-IV-Countries/,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-r2-stability-testing-new-drug-substances-and-products-step-5_en.pdf,http://academy.gmp-compliance.org/guidemgr/files/WHO_TRS_953_Annex2.pdf"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Laos,UNKNOWN,"There is no explicit information in the available sources indicating whether Laos specifically allows or prohibits the use of bracketing and matrixing designs in pharmaceutical product stability testing; guidance on stability testing in Laos has not been made public as of August 2025, and the country's recent regulations focus on biopharmaceutical products rather than general stability study protocols.[5]","https://humiditycontrol.com/blog/what-is-stability-testing/,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-d-bracketing-and-matrixing-designs-stability-testing-drug-substances-and-drug-products-step-5_en.pdf,https://siip.ac.in/wp-content/uploads/2021/04/stability-testing.pdf,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q1d-bracketing-and-matrixing-designs-stability-testing-new-drug-substances-and-products,https://www.tilleke.com/insights/laos-new-regulation-on-biopharmaceuticals-gene-therapy-and-stem-cells/"
Requires halal certification for pharmaceutical products.,Laos,PARTIAL,"Halal certification is available and encouraged for pharmaceutical products in Laos but is not legally required; it remains a voluntary process to enhance market access and consumer trust, rather than a regulatory mandate.[1][3][4]","https://seasia.co/2025/08/02/laos-halal-market-a-promising-sector-for-investors-and-entrepreneurs,https://halalfoundation.org/insights/halal-pharmaceuticals-and-supplements-certification/,https://ic-halal.com/industries/pharma/,https://www.tilleke.com/insights/laos-requirements-businesses-importing-and-exporting-medicines-and-medical-productsdevices/19/,https://www.efpia.eu/media/412591/efpia-positionpaper-on-halal_final_5-dec-2018.pdf"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Laos,NO,"Laos does not specifically mandate a “red dot” symbol on prescription-only pharmaceuticals; labeling laws require special wording in red for dangerous drugs, but make no mention of a red dot symbol for prescription-only medicines[1].","https://www.laotradeportal.gov.la/en-gb/site/display/41,http://www.tsmia.or.th/RTD2022/Self-CARER_e-book_final.pdf,http://fdd.gov.la/download/contentfiles/2018-07-18_113527am_Regulation%20on%20Establishment%20on%20Export_Import%20Company.pdf,https://iris.who.int/bitstream/handle/10665/43080/9241592508.pdf?sequence=1,https://www.tilleke.com/insights/laos-implements-medical-device-registration-and-notification-requirements/70/"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Laos,YES,"Laos targets an average marketing authorization (MA) approval timeline of approximately six months, as the medicinal product registration process typically takes about six months once the application is confirmed and all documents are received.[1]","https://credevo.com/articles/2021/04/25/generic-drug-approval-process-in-laos/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9734413/,https://www.tilleke.com/insights/laos-implements-medical-device-registration-and-notification-requirements/26/,https://www.youtube.com/watch?v=AtUChEfkokY,https://www.ijdra.com/index.php/journal/article/download/158/77"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Laos,NO,"There is no evidence from available sources that Laos imposes hospital-only distribution restrictions on certain classes of antimicrobial pharmaceuticals; instead, challenges in Laos focus on limited access, availability, and antibiotic stewardship, rather than formal restriction of certain antimicrobials to hospital settings.","https://pmc.ncbi.nlm.nih.gov/articles/PMC10801825/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11411237/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8638151/,https://www.ibanet.org/document?id=Healthcare-Survey-Responses-2024-Laos,https://wellcomeopenresearch.org/articles/9-183"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Laos,YES,"Laos publishes national AMR surveillance data: it has established a systematic national AMR surveillance system, shares surveillance data among hospitals, and reports data to international systems like WHO GLASS, with recent initiatives supporting regular data collection and public health reporting.","https://pmc.ncbi.nlm.nih.gov/articles/PMC8638151/,https://ghsindex.org/wp-content/uploads/2021/12/Laos.pdf,https://www.who.int/laos/our-work/tracking-and-combating-antimicrobial-resistance,https://www.ivi.int/who-we-are/ivi-and-lao-peoples-democratic-republic/,https://captura.ivi.int/2025/06/03/strengthening-antimicrobial-use-amu-monitoring/"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Brunei,PARTIAL,"Brunei accepts dossiers prepared according to ICH guidelines and permits CTD format for innovator pharmaceutical product registrations, although its national system is also aligned with the ASEAN Common Technical Dossier (ACTD), and some country-specific requirements may apply[1][5].","https://www.ijdra.com/index.php/journal/article/download/410/209,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-guideline-m4-r4-common-technical-document-ctd-registration-pharmaceuticals-human-use-organisation-ctd-step-5_en.pdf,https://www.ijpcbs.com/articles/comparative-study-of-regulatory-requirementsfor-the-compilation-and-approval-of-dossieras-per-ctd-actd-and-ectd-formats.pdf,https://ijprajournal.com/issue_dcp/Significance%20of%20Common%20Technical%20Document%20in%20Pharmacy%20Regulation%20%20A%20Review.pdf,https://journalforclinicalstudies.com/wp-content/uploads/2015/02/09.-Comparison-of-Marketing-Authorisation.pdf"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Brunei,NO,Brunei does not provide a fully digital online submission portal for pharmaceutical product marketing authorization; applications must be submitted electronically on a CD and delivered physically to the Department of Pharmaceutical Services.[2],"https://www.ijdra.com/index.php/journal/article/view/410,https://www.scribd.com/document/611930840/Guide-to-Application-for-Registration-of-Medicinal-Products-4th-Editi,https://www.biopharminternational.com/view/bruneis-potential-pharmaceutical-market-growth-0,https://www.ardms.org/maintain-certification/registrant-support/statusverification/,https://business.mofe.gov.bn/SitePages/business-licenses-and-approvals.aspx"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Brunei,UNKNOWN,Available sources do not confirm that Brunei legally requires acceptance of another AMS's cGMP certificate for pharmaceutical manufacturers; no direct evidence of a mandatory requirement is found.,"https://asean.org/wp-content/uploads/AVG-Revision-2-endorsed-31PPWG.pdf,https://www.aseanconsumer.org/file/post_image/BRUNEI-FINAL%20REPORT%20-%20Revised%2018Jun2014.pdf,https://www.pacificbridgemedical.com/regulation/asean-medical-device-pharmaceutical-regulations/,https://www.giz.de/de/downloads/giz2015-en-Laos_and_the_ASEAN_Economic_Community_-_8__factsheets.pdf,https://www.trade.gov/country-commercial-guides/brunei-standards-trade"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Brunei,NO,"Brunei, as part of ASEAN and a Zone IV country, requires long-term stability data at 30°C/65% RH for pharmaceutical submissions; data only at 25°C/60% RH, even with accelerated studies, does not fulfill their requirements.[3][4]","https://www.rsc.org/suppdata/c5/ra/c5ra07716h/c5ra07716h1.pdf,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-r2-stability-testing-new-drug-substances-and-products-step-5_en.pdf,https://www.pharmoutsourcing.com/Featured-Articles/37672-Regulatory-Strategy-for-Long-Term-Stability-Conditions-to-Support-Submission-in-Zone-IV-Countries/,https://iris.who.int/bitstream/10665/72914/1/18_2_2004,https://humiditycontrol.com/blog/what-is-stability-testing/"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Brunei,UNKNOWN,"There is no explicit information in the available sources confirming whether Brunei specifically allows bracketing and matrixing study designs in pharmaceutical stability testing; Brunei's regulations may be influenced by international ICH guidelines, but direct confirmation is absent.","https://humiditycontrol.com/blog/what-is-stability-testing/,https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline,https://farabipharma.ir/wp-content/uploads/2017/07/Handbook-of-Stability-Testing-in-Pharmaceutical-Development-Regulations-Methodologies-and-Best-.pdf,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-d-bracketing-and-matrixing-designs-stability-testing-drug-substances-and-drug-products-step-5_en.pdf,https://www.labmanager.com/stability-testing-of-pharmaceuticals-procedures-and-best-practices-33944"
Requires halal certification for pharmaceutical products.,Brunei,NO,"Brunei does not require halal certification for pharmaceutical products; the certification is compulsory only for food businesses, while non-food items such as pharmaceuticals are exempt unless they are oral or consumed products[2].","https://halalfocus.com/brunei-unveils-halal-pharma-guidelines/,http://news.xinhuanet.com/english/2017-07/14/c_136444795.htm,https://borneobulletinyearbook.com.bn/halal/,https://certease.com/halal-certification-in-brunei/,https://www.halalrc.org/images/Research%20Material/Report/GUIDELINE%20FOR%20HALAL%20CERTIFICATION.pdf"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Brunei,NO,"No evidence was found in Brunei’s official pharmacovigilance or medicines regulations mandating a 'red dot' symbol for prescription-only pharmaceutical products; such a requirement is specified in Indonesia, not Brunei.[1][5][3]","https://moh.gov.bn/wp-content/uploads/2024/10/Brunei-Darussalam-Pharmacovigilance-Guidelines-31.7.18.pdf,http://www.tsmia.or.th/RTD2022/Self-CARER_e-book_final.pdf,https://www.artixio.com/post/nadfc-bpom-regulation-of-pharmaceuticals-in-indonesia,https://www.annualreports.com/HostedData/AnnualReportArchive/d/NASDAQ_DCPH_2020.pdf,https://www.agc.gov.bn/AGC%20Images/LAWS/ACT_PDF/M/CHAPTER%20285%20RG%201.pdf"
