policy,country,status,explanation,source
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Vietnam,YES,"Vietnam accepts the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations. According to Official Letter 21508/QLD-ĐK and current regulations, if a product's dossier cannot be arranged according to the ASEAN Common Technical Dossier (ACTD), the ICH-CTD format is allowed, especially for new chemical drugs and biological products[1][5]. This is confirmed by recent regulatory guidance and practical instructions for dossier submissions, which specify that technical documents may be prepared in either ACTD or ICH-CTD format[5].","https://vnras.com/the-official-letter-21508-qld-dk-guideline-applying-actd-dossier-ich-ctd-dossier/,https://international-pharma.com/wp-content/uploads/2017/04/Comparison-of.pdf,https://dohapharma.com/pharmaceuticals/,https://globallawexperts.com/drug-registration-process-in-vietnam-part-i-guide-for-foreign-companies-2025/,https://solispharm.com/2025/04/14/imported-drug-registration-in-vietnam/"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Vietnam,YES,"Vietnam provides a fully digital online submission portal for pharmaceutical product marketing authorization applications. Applicants can submit their registration dossiers through the official online public service portal of the Drug Administration Department (DAV) at https://dav.gov.vn, as indicated in multiple recent regulatory guides[2][5]. Submission through the portal is described as an established option, though in-person submission is still available. All essential steps, including document submission and receipt tracking, can be completed digitally.","https://www.artixio.com/post/pharmaceutical-regulations-and-registration-in-vietnam,https://globalreferral.group/drug-registration-in-vietnam-guide-for-foreign-companies-p2/,https://www.tilleke.com/insights/vietnam-issues-new-regulations-on-drug-registration/7/,https://www.vietnam-briefing.com/news/vietnams-amended-pharmaceutical-law-navigating-the-key-changes.html/,https://hmlf.vn/business-sectors/healthcare/drug-registration-process-vietnam-guide-foreign-companies-2025-2/"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Vietnam,NO,"Vietnam does not legally require acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers. According to regulatory standards, pharmaceutical manufacturers operating in Vietnam must comply with local requirements based on WHO GMP standards, and certificates must be approved by the Vietnamese authorities, specifically the Ministry of Health and the Drug Administration of Vietnam[2][4]. There is no legal provision for automatic mutual recognition or mandatory acceptance of cGMP certificates issued by other ASEAN members for pharmaceuticals. Facilities with expiring ASEAN GMP certificates must still obtain WHO GMP certification in Vietnam to continue operation[2]. Please note that this does not apply to cosmetics, where the ASEAN CGMP may be recognized[1][3][5].","http://vietnamlawmagazine.vn/cosmetic-producers-must-meet-cgmp-asean-standards-5253.html,https://www.pacificbridgemedical.com/news-brief/new-gmp-requirements-for-pharmaceutical-manufacturers-in-vietnam/,https://longphanpmt.com/en/cosmetics-factory-standards-meet-cgmp-standards/,https://www.tilleke.com/wp-content/uploads/2021/04/2021_PLC_Life_Sciences_RA_Vietnam.pdf,https://gpcgateway.com/common/news_details/MjEyNg/MTc/lib"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Vietnam,NO,"Vietnam, as part of ASEAN and a country in climatic Zone IV, requires stability data for pharmaceutical products at long-term conditions of 30°C/75% RH (or sometimes 30°C/65% RH) for registration purposes, not 25°C/60% RH. Submitting only stability data at 25°C/60% RH, even when supported by accelerated stability studies, does not meet the standard requirements for Vietnam’s climate and regulatory expectations[1][4]. Accelerated data alone are supplementary; the principal data must match local climatic conditions, which for Vietnam means real-time, long-term studies at higher temperature and humidity than 25°C/60% RH[2][4].","https://www.pharmoutsourcing.com/Featured-Articles/37672-Regulatory-Strategy-for-Long-Term-Stability-Conditions-to-Support-Submission-in-Zone-IV-Countries/,https://database.ich.org/sites/default/files/Q1F_Stability_Guideline_WHO_2018.pdf,https://www.tilleke.com/insights/vietnam-issues-new-regulations-on-drug-registration/,https://iris.who.int/bitstream/10665/72914/1/18_2_2004,https://clinregs.niaid.nih.gov/sites/default/files/documents/vietnam/BioTestReq_GoogleTranslation.pdf"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Vietnam,PARTIAL,"Vietnam's current pharmaceutical guidelines, including Circular No. 30/2025/TT-BYT and related regulatory documents, do not explicitly mention or prohibit the use of bracketing and matrixing designs in stability testing for drug products[1][5]. There are clear requirements for stability research records to be complete and compliant with recognized pharmacopoeial standards[1][5], but the official adoption of ICH Q1D (which defines bracketing and matrixing) is not confirmed in the publicly available regulations reviewed. Therefore, while use of such designs may be technically possible if well justified and consistent with internationally harmonized approaches, specific allowance or procedures for bracketing and matrixing in Vietnam's regulations remain unconfirmed based on the provided sources. Regulatory consultation is advised for formal applications.","https://www.tilleke.com/insights/vietnam-updates-guidelines-on-drug-quality-standards-testing-and-noncompliance/,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-d-bracketing-and-matrixing-designs-stability-testing-drug-substances-and-drug-products-step-5_en.pdf,https://clinregs.niaid.nih.gov/sites/default/files/documents/vietnam/BioTestReq_GoogleTranslation.pdf,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q1d-bracketing-and-matrixing-designs-stability-testing-new-drug-substances-and-products,https://clinregs.niaid.nih.gov/sites/default/files/documents/vietnam/DrugRgstrtn_GoogleTranslation.pdf"
Requires halal certification for pharmaceutical products.,Vietnam,NO,"Vietnam does not require halal certification for pharmaceutical products sold domestically; halal certification is optional and primarily pursued by companies aiming to export pharmaceuticals, supplements, or herbal products to Muslim-majority markets where certification is required[1][3][5]. While Vietnam launched a national Halal certification center and some pharmaceutical companies obtain Halal certification for specific products, this is a business decision based on export strategy and is not a universal regulatory requirement within Vietnam[1][3][5].","https://vietnamnews.vn/economy/1689525/local-herbal-company-becomes-halal-certified.html,https://halalfocus.com/vietnam-nation-to-comply-with-halal-requirements/,https://en.vcci.com.vn/vietnam-launches-national-halal-certification-center,https://www.halaltimes.com/vietnam-pm-pushes-for-halal-expansion/,https://www.halaltimes.com/vietnams-halal-products-take-center-stage-in-malaysia/"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Vietnam,NO,"Vietnam does not specifically mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products according to its current pharmaceutical labeling regulations, including Circular 23/2023/TT-BYT and the earlier Circular No. 01/2018/TT-BYT[1][5]. The regulations emphasize requirements for Vietnamese language labeling, clarity about product content, and labeling elements such as batch number and expiry date but make no mention of a red dot or similar symbol to denote prescription status. Other countries (e.g., India) may require a 'red dot' or 'Rx' symbol, but there is no evidence of such a mandate in Vietnamese law as of 2024.","https://www.vietnam-briefing.com/doing-business-guide/vietnam/sector-insights/vietnam-updates-regulations-on-pharmaceutical-product-labeling,https://chicagounbound.uchicago.edu/cgi/viewcontent.cgi?article=2753&context=law_and_economics,https://vivabcs.com.vn/resources/representative-office/pharmacy-business-establish-representative-office/,http://www.tsmia.or.th/RTD2022/Self-CARER_e-book_final.pdf,https://clinregs.niaid.nih.gov/sites/default/files/documents/vietnam/MedLabel_GoogleTranslation.pdf"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Vietnam,NO,"Vietnam does not officially target an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products. Current regulations stipulate that an MA number should be issued within 12 months of a complete dossier submission, but in practice, approval timelines commonly range from 12 to 30 months[1]. Although recent regulatory updates have shortened timelines for supplemental dossier submissions to six months and aim for greater efficiency[2], these do not translate to a six-month overall approval target. Expedited pathways may exist for drugs already approved by agencies like the FDA or EMA, potentially allowing a faster or streamlined process[5], but no source confirms a national average target timeline of six months or less for standard pharmaceutical product approvals.","https://www.tilleke.com/sites/default/files/2017_Feb_Marketing_Distribution_Drugs_Vietnam.pdf,https://patentpanorama.com/blogs/vietnams-new-regulations-on-drug-regulation,https://www.rginsight.com/registration-of-drug-product-in-vietnam-2025,https://www.tilleke.com/insights/vietnam-issues-new-regulations-on-drug-registration/7/,https://www.artixio.com/post/pharmaceutical-regulations-and-registration-in-vietnam"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Vietnam,PARTIAL,"Vietnam does impose hospital-only distribution restrictions for certain antimicrobial drugs used for 'special treatment' purposes: such drugs may be imported for unmet medical needs and are restricted for use only in specific hospitals that requested them[4]. This constitutes a form of hospital-only distribution for select antimicrobial pharmaceutical products. However, for the broader classes of antimicrobials—including those considered critically important by WHO—Vietnam's main restriction is to make them prescription-only, with national laws mandating prescriptions for most antibiotics, but not explicit hospital-only distribution[2][5]. Widespread community pharmacy access to antibiotics persists in practice, often without strict enforcement of prescription requirements[2][5].","https://pmc.ncbi.nlm.nih.gov/articles/PMC9948497/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019242/,https://peercommunityjournal.org/item/10_24072_pcjournal_512/,https://www.tilleke.com/sites/default/files/2017_Feb_Marketing_Distribution_Drugs_Vietnam.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9445855/"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Vietnam,YES,"Vietnam publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products through a national surveillance system coordinated by the Ministry of Health, with standardized data collection from a network of hospitals[1][2][3][4]. This system is modeled after WHO GLASS, and data are analyzed and published to monitor resistance trends and inform antibiotic policies. However, challenges remain regarding data completeness and reporting delays from hospitals[2][5].","https://archive.cdc.gov/www_cdc_gov/drugresistance/solutions-initiative/stories/tracking-resistance-in-vietnam.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC10809436/,https://pubmed.ncbi.nlm.nih.gov/33971969/,https://resolve.cambridge.org/core/journals/antimicrobial-stewardship-and-healthcare-epidemiology/article/public-knowledge-and-attitudes-towards-antibiotics-and-antimicrobial-resistance-amr-in-vietnam-a-crosssectional-study/8CB1CC9546868716D6E25160E5B1CBEE,https://pmc.ncbi.nlm.nih.gov/articles/PMC9445855/"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Laos,PARTIAL,"Laos is a member of ASEAN and follows the ASEAN Common Technical Dossier (ACTD) format for pharmaceutical product registrations. Some ASEAN countries allow either the ACTD or ICH CTD, but ACTD is the regional standard[3][5]. There is no clear evidence in the provided results that specifically confirms Laos accepts the ICH CTD format for innovator drugs, only that the ACTD format is required. For countries that do accept the ICH CTD, this is typically explicitly stated, as with Thailand, but such an explicit statement is not available for Laos in these sources. Therefore, while Laos accepts the ACTD—which shares many similarities with the ICH CTD—direct acceptance of the ICH CTD format cannot be confirmed based on the evidence provided.","https://www.ijpcbs.com/articles/comparative-study-of-regulatory-requirementsfor-the-compilation-and-approval-of-dossieras-per-ctd-actd-and-ectd-formats.pdf,https://api.pageplace.de/preview/DT0400.9781420081831_A37765401/preview-9781420081831_A37765401.pdf,https://www.productlifegroup.com/extension-us-eu-dossier-asean-countries-cmc-perspective/,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-guideline-m4-r4-common-technical-document-ctd-registration-pharmaceuticals-human-use-organisation-ctd-step-5_en.pdf,https://international-pharma.com/wp-content/uploads/2017/04/Comparison-of.pdf"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Laos,YES,"Laos provides a fully digital online submission portal for pharmaceutical product marketing authorization applications, as indicated by the LAOREG system, which supports marketing authorization for pharmaceutical products through online applications and features an assessment module specifically designed for this purpose[5].","https://www.artixio.com/qatar/pharma/regulatory-affairs,https://pmc.ncbi.nlm.nih.gov/articles/PMC8483304/,https://www.laotradeportal.gov.la/en-gb/site/display/41,https://www.iqvia.com/-/media/iqvia/pdfs/asia-pacific/apac-insight-magazine/iqvia-apac-insight-issue10-vf.pdf,https://laoreg.online/adm/index.php"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Laos,PARTIAL,"Laos participates in the ASEAN Mutual Recognition Arrangement (MRA) on Good Manufacturing Practice (GMP) Inspection for medicinal products, which aims to facilitate mutual acceptance of GMP certificates among ASEAN Member States for finished dosage forms[1][3][5]. The MRA is considered an obligatory requirement for ASEAN member countries[5]. However, implementation details—such as whether Laos' national regulatory process legally mandates automatic acceptance of another ASEAN member’s cGMP certificate without additional scrutiny—are not explicit in provided sources[1][5]. In practice, member states may retain some regulatory discretion or additional requirements, so while mutual recognition is the objective, legal automatic acceptance by Laos is not fully confirmed by the available evidence.","http://www.fdd.gov.la/fullnews_en.php?newsID=94,https://asean.org/wp-content/uploads/images/2013/economic/iai/ASEAN%20Cosmetics%20Directive%20CLMV%20Workshop%20Feb%202013.pdf,https://globalforum.diaglobal.org/issue/september-2018/regulatory-harmonization-and-recognition-continue-in-asean/,https://jicwels.or.jp/files/CountryReports/medicine/2012(H24)_%E5%BF%85%E9%A0%88%E5%8C%BB%E8%96%AC%E5%93%81%E8%A3%BD%E9%80%A0%E5%93%81%E8%B3%AA%E7%AE%A1%E7%90%86%EF%BC%88GMP%EF%BC%89.pdf,https://asean.org/wp-content/uploads/2022/12/ASEAN-Pharmaceutical-Regulatory-Policy-Sample-Print-REV-20122022-.pdf"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Laos,NO,"Laos is classified under WHO climatic Zone IV (hot and humid), for which the recommended long-term stability study conditions are 30°C/65% RH or 30°C/75% RH, not 25°C/60% RH. Submission of stability data at 25°C/60% RH, even if supported by accelerated studies, does not meet the standard long-term requirements for Zone IV countries like Laos. Each country determines its sub-zone (IVa or IVb), but 25°C/60% RH is not considered appropriate for long-term stability for pharmaceutical products in Laos[1][2][3].","https://www.pharmoutsourcing.com/Featured-Articles/37672-Regulatory-Strategy-for-Long-Term-Stability-Conditions-to-Support-Submission-in-Zone-IV-Countries/,https://database.ich.org/sites/default/files/Q1F_Stability_Guideline_WHO_2018.pdf,http://academy.gmp-compliance.org/guidemgr/files/WHO_TRS_953_Annex2.pdf,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-r2-stability-testing-new-drug-substances-and-products-step-5_en.pdf,https://www.rsc.org/suppdata/c5/ra/c5ra07716h/c5ra07716h1.pdf"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Laos,UNKNOWN,"There is no publicly available evidence confirming that Laos specifically allows or prohibits the use of bracketing and matrixing study designs in pharmaceutical product stability testing. While Laos has issued new regulations on biopharmaceuticals as of early 2025, these documents do not address the specific stability study methodologies permitted[5]. In many countries, including those referencing ICH guidelines, bracketing and matrixing designs are allowed with justification, but there is no specific information confirming Laos’ stance on these ICH Q1D-based approaches[2][4]. It is recommended to consult directly with the Laos Ministry of Health or local regulatory consultants for authoritative guidance.","https://humiditycontrol.com/blog/what-is-stability-testing/,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-d-bracketing-and-matrixing-designs-stability-testing-drug-substances-and-drug-products-step-5_en.pdf,https://siip.ac.in/wp-content/uploads/2021/04/stability-testing.pdf,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q1d-bracketing-and-matrixing-designs-stability-testing-new-drug-substances-and-products,https://www.tilleke.com/insights/laos-new-regulation-on-biopharmaceuticals-gene-therapy-and-stem-cells/"
Requires halal certification for pharmaceutical products.,Laos,NO,"Laos does not require halal certification for pharmaceutical products. Halal certification is available and pharmaceutical companies are eligible to apply for it, but it is not mandatory under current regulations[1]. The regulatory focus, as in some other ASEAN countries, is on voluntary rather than compulsory certification for medicines and medical products[5][1]. The main benefits of halal certification relate to market expansion and consumer trust, not regulatory compliance in Laos. While halal-certified pharmaceuticals can access niche markets, certification is not a legal requirement in Laos at this time.","https://seasia.co/2025/08/02/laos-halal-market-a-promising-sector-for-investors-and-entrepreneurs,https://halalfoundation.org/insights/halal-pharmaceuticals-and-supplements-certification/,https://ic-halal.com/industries/pharma/,https://www.tilleke.com/insights/laos-requirements-businesses-importing-and-exporting-medicines-and-medical-productsdevices/19/,https://www.efpia.eu/media/412591/efpia-positionpaper-on-halal_final_5-dec-2018.pdf"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Laos,NO,"Based on the current available regulations and guidelines from Laos, there is no requirement mandating the use of a 'red dot' symbol specifically on prescription-only pharmaceutical products. The regulations do require certain danger warnings (such as 'Dangerous Drug' or 'For hospital use only') to appear in red lettering and brackets on labels for dangerous or hospital-use drugs, but there is no mention of a specific 'red dot' symbol for prescription-only medications[1].","https://www.laotradeportal.gov.la/en-gb/site/display/41,http://www.tsmia.or.th/RTD2022/Self-CARER_e-book_final.pdf,http://fdd.gov.la/download/contentfiles/2018-07-18_113527am_Regulation%20on%20Establishment%20on%20Export_Import%20Company.pdf,https://iris.who.int/bitstream/handle/10665/43080/9241592508.pdf?sequence=1,https://www.tilleke.com/insights/laos-implements-medical-device-registration-and-notification-requirements/5/"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Laos,YES,"Laos targets an average marketing authorization (MA) approval timeline of approximately six months for pharmaceutical products once the Food and Drug Department (FDD) confirms the application and receives all necessary supporting documents[1]. The drug registration committee is required to decide within 180 days (six months), which aligns with the specified timeline[1].","https://credevo.com/articles/2021/04/25/generic-drug-approval-process-in-laos/,https://efpia.eu/media/636822/root-cause-unavailability-delays-cra-report-april-2022-final.pdf,https://www.tilleke.com/insights/laos-implements-medical-device-registration-and-notification-requirements/26/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7214660/,https://www.ijdra.com/index.php/journal/article/download/158/77"
