policy,country,status,explanation,source
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Vietnam,YES,"Vietnam accepts the ICH CTD format for innovator pharmaceutical product registrations as per Circular No. 44/2014/TT-BYT issued by the Ministry of Health, which allows submissions in this format when ACTD cannot be utilized.","https://vnras.com/the-official-letter-21508-qld-dk-guideline-applying-actd-dossier-ich-ctd-dossier/?utm_source=openai,https://www.productlifegroup.com/specific-regulations-requirements-international-markets/?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Vietnam,YES,"Vietnam provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the Drug Administration of Vietnam (DAV) at https://dichvucong.dav.gov.vn, which requires applicants to have a registered account and a valid USB Token for digital signing.","https://www.rginsight.com/registration-of-drug-product-in-vietnam-2025?utm_source=openai,https://www.artixio.com/dav-introduces-new-drug-registration-process-in-vietnam/?utm_source=openai,https://medgate.vn/en/dossier-and-procedures-for-obtaining-marketing-authorization-ma-for-ivd-medical-devices-of-class-c-and-d-with-national-technical-regulations/?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Vietnam,PARTIAL,"Vietnam is committed to the ASEAN MRA on GMP, which obligates it to accept GMP certificates from other ASEAN states; however, Decree 163/2025/ND-CP requires that these certificates must be recognized by Vietnam's Ministry of Health, adding conditions to their acceptance.","https://cil.nus.edu.sg/databasecil/2009-asean-sectoral-mutual-recognition-agreement-on-good-manufacturing-practice-gmp-inspection-of-manufacturers-of-medicinal-products/?utm_source=openai,https://gabi-journal.net/a-review-of-international-initiatives-on-pharmaceutical-regulatory-reliance-and-recognition.html?utm_source=openai,https://thuvienphapluat.vn/van-ban/EN/The-thao-Y-te/Decree-163-2025-ND-CP-elaborating-certain-articles-of-the-Law-on-Pharmacy/669216/tieng-anh.aspx?utm_source=openai"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Vietnam,PARTIAL,"Vietnam permits stability data submission at 25°C/60% RH when justified and accompanied by accelerated studies, although the primary recommendation is 30°C/75% RH according to ASEAN guidelines.",https://www.scribd.com/document/457681671/ASEAN-GUIDELINE-ON-STABILITY-STUDY-OF-DRUG-PRODUCT-docx?utm_source=openai
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Vietnam,YES,"Vietnam permits the use of bracketing and matrixing designs in pharmaceutical stability testing, provided they align with ICH guidelines and are scientifically justified.","https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline?utm_source=openai,https://1library.net/article/bracketing-matrixing-designs-stability-testing-drug-substances-products.yekpl84y?utm_source=openai,https://aapsopen.springeropen.com/articles/10.1186/s41120-023-00078-5?utm_source=openai"
Requires halal certification for pharmaceutical products.,Vietnam,NO,Vietnam does not require halal certification for pharmaceutical products; it is a voluntary process for companies aiming to access Muslim markets.,"https://halcert.most.gov.vn/en/?utm_source=openai,https://vietnamnews.vn/economy/1689525/local-herbal-company-becomes-halal-certified.html?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Vietnam,NO,"Vietnam's regulations do not mandate the use of a red dot symbol on prescription drugs; instead, the 'Rx' symbol must be used along with specific labeling requirements to indicate prescription status (Circular No. 01/2018/TT-BYT).","https://english.luatvietnam.vn/circular-no-01-2018-tt-byt-dated-january-18-2018-of-the-ministry-of-health-on-labeling-and-package-inserts-of-drugs-and-medicinal-ingredients-158447-doc1.html?utm_source=openai,https://english.luatvietnam.vn/circular-no-06-2016-tt-byt-dated-march-08-2016-of-the-ministry-of-health-on-drug-labeling-103717-doc1.html?utm_source=openai"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Vietnam,NO,"Vietnam does not target an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products, as the standard approval for new drug registrations typically exceeds twelve months, although there are expedited processes for specific cases.","https://www.scribd.com/document/891750758/12-2025-Tt-Byt-RA-English?utm_source=openai,https://english.luatvietnam.vn/y-te/circular-12-2025-tt-byt-marketing-authorization-of-medicinal-products-400604-d1.html?utm_source=openai,https://hmlf.vn/business-sectors/healthcare/drug-registration-process-vietnam-guide-foreign-companies-2025-2/?utm_source=openai"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Vietnam,YES,"Vietnam enforces hospital-specific distribution restrictions for certain classes of antimicrobial pharmaceutical products through the establishment of Drug and Therapeutics Committees and Antimicrobial Stewardship teams within hospitals, which manage and regulate antibiotic use.","https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-13-1158?utm_source=openai,https://aricjournal.biomedcentral.com/articles/10.1186/s13756-024-01364-x?utm_source=openai,https://www.hmplaw.vn/en/restrictions-on-foreign-enterprises-investing-in-the-pharmaceutical-industry-in-vietnam?utm_source=openai"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Vietnam,PARTIAL,"Vietnam has a national AMR surveillance system, but there is no clear documentation regarding the publication of surveillance data specifically related to pharmaceutical products.","https://www.cdc.gov/globalhealth/healthprotection/fieldupdates/winter-2017/vietnam-tracks-bacteria.html?utm_source=openai,https://www.who.int/vietnam/news/detail/20-11-2023-everyone-has-a-responsibility-to-prevent-antimicrobial-resistance-in-viet-nam?utm_source=openai,https://link.springer.com/article/10.1186/s12982-024-00174-1?utm_source=openai"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Laos,YES,"Laos accepts the ICH CTD format for innovator pharmaceutical product registrations, alongside its primary use of the ASEAN Common Technical Dossier (ACTD) format, thus allowing flexibility in submission formats.","https://www.productlifegroup.com/introduction-asean-common-technical-dossier-actd-pharmaceutical-registration/?utm_source=openai,https://en.fda.moph.go.th/our-services-new/our-services-pharmaceutical-product-registration-and-approval?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Laos,NO,"As of August 2025, Laos does not offer a fully digital online submission portal for pharmaceutical product marketing authorization applications, requiring applicants to submit physical documents for registration.","https://credevo.com/articles/2021/04/25/generic-drug-approval-process-in-laos/?utm_source=openai,https://globalforum.diaglobal.org/issue/september-2022/digitalization-in-the-asean-pharmaceuticals-market/?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Laos,YES,"Laos is legally required to accept GMP certificates from other ASEAN member states under the ASEAN Mutual Recognition Arrangement (MRA) on GMP Inspection, signed in 2009.","https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/?utm_source=openai,https://en.vietnamplus.vn/asean-imposes-tighter-medicine-and-pharmaceutical-management-post73233.vnp?utm_source=openai"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Laos,PARTIAL,"While Laos generally recommends stability testing at 30°C/75% RH, the ASEAN guidelines allow for flexibility in testing conditions for products in impermeable containers, potentially permitting stability data at 25°C/60% RH if supported by accelerated studies.","https://pubhtml5.com/otla/smde/basic/?utm_source=openai,https://pharmanotes.org/2022/02/stability-studies-ich-guidelines-q1a-q1f/?utm_source=openai"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Laos,YES,"Laos permits the use of bracketing and matrixing study designs in pharmaceutical product stability testing according to the ASEAN guidelines, provided specific conditions are met.",https://paperzz.com/doc/9443062/asean-guideline-on-stability-study-of-drug?utm_source=openai
Requires halal certification for pharmaceutical products.,Laos,NO,"As of August 2025, Laos does not require halal certification for pharmaceutical products, though the government is facilitating efforts to improve local manufacturers' compliance with halal standards to enhance export potential.","https://laotiantimes.com/2025/05/14/laos-launches-halal-certification-project-to-boost-exports/?utm_source=openai,https://cert-ease.com/halal-certification-in-laos/?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Laos,NO,There is no evidence that Laos mandates the use of a 'red dot' symbol on prescription-only pharmaceutical products; regulations concerning pharmaceutical labeling do not specify such a requirement (Tilleke & Gibbins).,https://www.tilleke.com/insights/product-labeling-laos-new-regulations-require-local-language-packaging/?utm_source=openai
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Laos,YES,"Laos targets an average marketing authorization approval timeline of six months or less, as the drug registration process typically takes approximately six months once the necessary documents are confirmed.",https://credevo.com/articles/2021/04/25/generic-drug-approval-process-in-laos/?utm_source=openai
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Laos,PARTIAL,"Laos has implemented regulations that restrict the distribution of certain antimicrobial products to hospital settings, but there are ongoing plans to strengthen these controls, particularly regarding prescription-only status, which is not fully in place yet.","https://www.laotradeportal.gov.la/en-gb/site/display/252?utm_source=openai,https://laotiantimes.com/2024/12/04/laos-to-decentralize-medicine-procurement-to-provinces-starting-in-2025/?utm_source=openai,https://www.thelancet.com/journals/lanwpc/article/PIIS2666-6065%2820%2930084-5/fulltext?utm_source=openai,https://pubmed.ncbi.nlm.nih.gov/35137095/?utm_source=openai"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Laos,PARTIAL,"Laos has established a national AMR surveillance system, but comprehensive public access to detailed data regarding antimicrobial resistance and consumption, particularly related to pharmaceutical products, is limited.","https://www.who.int/laos/news/detail/11-07-2018-the-launch-of-the-antimicrobial-resistance-surveillance-program-in-lao-people-s-democratic-republic?utm_source=openai,https://www.who.int/laos/our-work/tracking-and-combating-antimicrobial-resistance?utm_source=openai,https://www.who.int/laos/news/detail/24-11-2022-koica---who-highlight-progress-fighting-antimicrobial-resistance-and-future-opportunities?utm_source=openai"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Brunei,YES,"Brunei accepts the ICH CTD format for innovator pharmaceutical product registrations, provided that all relevant ASEAN technical requirements are met.","https://www.productlifegroup.com/introduction-asean-common-technical-dossier-actd-pharmaceutical-registration/?utm_source=openai,https://www.scribd.com/document/800284365/International-pharmaceutical-product-registration-2nd-Edition-A-C-Cartwright-all-chapter-instant-download?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Brunei,NO,"Brunei does not provide a fully digital online submission portal for pharmaceutical product marketing authorization applications, as applications must be submitted in person at the Department of Pharmaceutical Services.",https://moh.gov.bn/services/pharmary-services/?utm_source=openai
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Brunei,YES,"Brunei legally requires acceptance of another ASEAN Member State’s GMP certificate for pharmaceutical manufacturers under the ASEAN MRA on GMP Inspection, which mandates mutual recognition of GMP certificates among member states.","https://globalforum.diaglobal.org/issue/september-2018/regulatory-harmonization-and-recognition-continue-in-asean/?utm_source=openai,https://gabi-journal.net/a-review-of-international-initiatives-on-pharmaceutical-regulatory-reliance-and-recognition.html?utm_source=openai,https://en.fda.moph.go.th/international-relation/category/cat-international-cooperation/?utm_source=openai"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Brunei,PARTIAL,"Brunei may allow stability data submission for pharmaceutical products at 25°C/60% RH if the applicant provides justification, as the ASEAN guidelines permit alternative storage conditions if justified.","https://www.stabilitystudies.in/stability-studies-key-regulatory-guidelines-for-global-compliance/?utm_source=openai,https://www.scribd.com/document/457681671/ASEAN-GUIDELINE-ON-STABILITY-STUDY-OF-DRUG-PRODUCT-docx?utm_source=openai"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Brunei,PARTIAL,"While specific regulations for bracketing and matrixing designs in Brunei are not publicly available, the country adheres to the ASEAN Stability Guideline which allows for their use under certain conditions.",https://www.scribd.com/document/237266472/Asean-Stability-Guideline-5th-Draft?utm_source=openai
Requires halal certification for pharmaceutical products.,Brunei,YES,"Brunei requires halal certification for pharmaceutical products, as established by guidelines from the Ministry of Religious Affairs which ensure compliance with Islamic law.","https://mofe.gov.bn/SitePages/HALAL%20STANDARD.aspx?utm_source=openai,https://halalfocus.net/brunei-first-to-establish-halal-pharma-guidelines/?utm_source=openai,https://simporpharma.com/contents/about_us_profile_story.html?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Brunei,NO,"Brunei does not mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products, focusing instead on comprehensive labeling requirements for prescription drugs.",https://pt.scribd.com/presentation/414983438/Bfad-Guidelines-on-Labeling-of-Drug-Products?utm_source=openai
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Brunei,NO,"Brunei's average pharmaceutical product approval timeline exceeds six months, specifically ranging from approximately 8.5 to 14 months under standard procedures, without a consistent six-month target for approvals.","https://moh.gov.bn/SitePages/Registration%20Medical%20Product.aspx?utm_source=openai,https://pmc.ncbi.nlm.nih.gov/articles/PMC10664654/?utm_source=openai"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Brunei,NO,"Brunei does not impose hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products; instead, all antimicrobials are regulated as prescription-only medicines, allowing them to be prescribed by licensed practitioners without specific hospital-only limitations.","https://www.researchgate.net/publication/342330967_University_Students%27_Antibiotic_Use_and_Knowledge_of_Antimicrobial_Resistance_What_Are_the_Common_Myths?utm_source=openai,https://moh.gov.bn/about-us/policies/?utm_source=openai"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Brunei,NO,Brunei has established a national AMR surveillance system but has not published specific AMR surveillance data related to pharmaceutical products as of August 2025.,"https://www.informea.org/en/content/legislation/antimicrobial-resistance-national-action-plan-2019-2023?utm_source=openai,https://pmc.ncbi.nlm.nih.gov/articles/PMC8315476/?utm_source=openai"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Thailand,YES,"Thailand accepts the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations, allowing submissions in both ICH CTD and ASEAN ACTD formats according to the Thai FDA.","https://en.fda.moph.go.th/entrepreneurs-medicines/how-to-apply-for-drug-pproval-01/?utm_source=openai,https://docest.com/doc/384729/food-and-drug-administration-thailand-bureau-of-drug-control?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Thailand,YES,Thailand provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through its Integrated Regulatory Information Management System (ThaiRIMS) and the Drug E-Submission Service Center (DESS).,"https://thairims.fda.moph.go.th/user/index.php?utm_source=openai,https://en.fda.moph.go.th/news/the-open-of-drug-e-submission-service-center-a-new-stage-of-the-thai-fda/?utm_source=openai,https://globalforum.diaglobal.org/issue/september-2022/digitalization-in-the-asean-pharmaceuticals-market/?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Thailand,YES,"Thailand legally requires the acceptance of Good Manufacturing Practice (GMP) certificates from other ASEAN Member States (AMS) as mandated by the ASEAN Sectoral Mutual Recognition Arrangement (MRA) signed on April 10, 2009.","https://cil.nus.edu.sg/databasecil/2009-asean-sectoral-mutual-recognition-agreement-on-good-manufacturing-practice-gmp-inspection-of-manufacturers-of-medicinal-products/?utm_source=openai,https://en.fda.moph.go.th/international-relation/category/cat-international-cooperation/?utm_source=openai,https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/?utm_source=openai"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Thailand,NO,"Thailand does not permit stability data submission at 25°C/60% RH for pharmaceutical products, as it does not adhere to the ASEAN Stability Guidelines which specify 30°C ± 2°C with 75% RH ± 5% for long-term stability testing.",https://www.stabilitystudies.in/stability-studies-key-regulatory-guidelines-for-global-compliance/?utm_source=openai
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Thailand,YES,"Thailand permits the use of bracketing and matrixing study designs in pharmaceutical stability testing, aligning with ICH guidelines and regional ASEAN standards.","https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline?utm_source=openai,https://paperzz.com/doc/9443062/asean-guideline-on-stability-study-of-drug?utm_source=openai"
Requires halal certification for pharmaceutical products.,Thailand,NO,"Thailand does not require halal certification for pharmaceutical products, although it can benefit manufacturers targeting the Muslim market.","https://www.halal.or.th/office/certificate_province/document/cert/20202/en?utm_source=openai,https://www.halalstandard.or.th/en/about-us?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Thailand,YES,Thailand mandates the use of a red circle with a black border and letter 'K' to indicate hard drugs that require a doctor's prescription.,https://www.herminahospitals.com/en/news-and-events/kenali-simbol-kode-warna-pada-obat-rs-hermina-pasuruan.html?utm_source=openai
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Thailand,NO,"Thailand does not consistently target an average MA approval timeline of six months or less for all pharmaceutical products, as timelines vary significantly depending on product type and registration pathway, with new chemical entities often taking 12 to 18 months and simplified pathways for generics requiring 6 to 12 months.",https://omcmedical.com/thai-food-and-drug-administration-tfda-drug-approval-processes/?utm_source=openai
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Thailand,NO,"Thailand has reclassified certain antibiotics as prescription-only, but there is no evidence of hospital-only distribution restrictions for these antimicrobial products.","https://pmc.ncbi.nlm.nih.gov/articles/PMC8381094/?utm_source=openai,https://pubmed.ncbi.nlm.nih.gov/29403113/?utm_source=openai"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Thailand,PARTIAL,Thailand publishes some antimicrobial resistance (AMR) surveillance data but faces challenges in full national coverage and integration across sectors.,"https://pmc.ncbi.nlm.nih.gov/articles/PMC5537745/?utm_source=openai,https://pmc.ncbi.nlm.nih.gov/articles/PMC8381094/?utm_source=openai,https://www.ihppthaigov.net/research/antimicrobial-resistance?utm_source=openai,https://pmac2023.com/specialEvent/4/details?utm_source=openai"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Myanmar,NO,"Myanmar does not accept the ICH CTD format for innovator pharmaceutical product registrations, requiring instead the ASEAN Common Technical Dossier (ACTD) format.","https://www.rginsight.com/registration-of-drug-product-in-myanmar-2025?utm_source=openai,https://www.pharmatutor.org/articles/registration-dossier-pharmaceuticals?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Myanmar,YES,"Myanmar has established a fully digital online submission portal for pharmaceutical product marketing authorization applications through the Department of Food and Drug Administration, enabling electronic submissions and payments for renewals starting January 1, 2024.","https://esubmission.fda.gov.mm/,https://www.gnlm.com.mm/fda-myanmar-starts-using-e-submission-with-digital-payment-for-registration-renewals/?utm_source=openai,https://www.myanmartradeportal.gov.mm/legal/540?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Myanmar,YES,"Myanmar is legally required to accept GMP certificates and inspection reports from other ASEAN Member States as per the ASEAN Sectoral Mutual Recognition Arrangement (MRA) for Good Manufacturing Practice, signed in 2009.",https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/?utm_source=openai
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Myanmar,NO,"Myanmar does not permit stability data submission for pharmaceutical products at 25°C/60% RH, as the regulatory requirements stipulate long-term stability testing at 30°C/75% RH.","https://www.scribd.com/document/382268703/StabilityTable2-pdf?utm_source=openai,https://www.stabilitystudies.in/stability-studies-key-regulatory-guidelines-for-global-compliance/?utm_source=openai,https://arexcell.com/MMC_GMP_Wiki/index.php/WHO_TRS_1010_Annex_10?utm_source=openai"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Myanmar,YES,"Myanmar permits the use of bracketing and matrixing study designs in pharmaceutical product stability testing, as these methodologies are recognized under the ASEAN guidelines, which align with ICH standards and require scientific justification.","https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline?utm_source=openai,https://pharmainterview.com/ich-q1d-guidelines-for-stability-testing-of-pharmaceutical-products/?utm_source=openai,https://paperzz.com/doc/9443062/asean-guideline-on-stability-study-of-drug?utm_source=openai"
Requires halal certification for pharmaceutical products.,Myanmar,NO,"In Myanmar, halal certification for pharmaceutical products is not a mandatory requirement imposed by the government, although it can enhance market appeal and consumer trust among the Muslim population.","https://www.halaltimes.com/myanmars-halal-certification-dilemma-a-call-for-innovation-and-sustainability/?utm_source=openai,https://certease.com/halal-certification-in-myanmar/?utm_source=openai,https://cert-ease.com/halal-certification-in-myanmar/?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Myanmar,NO,"Myanmar does not specifically mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products according to the National Drug Law enacted in 1992, which does not mention any symbols for labeling prescription drugs.","https://www.wipo.int/wipolex/en/legislation/details/6452?utm_source=openai,https://mandiradistra.com/en/health-tips/this-is-the-kind-of-symbol-for-drugs-there-is-a-logo-on-hard-drugs/?utm_source=openai,https://www.burmalibrary.org/sites/burmalibrary.org/files/obl/docs/Drug_Law_of_1992.html?utm_source=openai"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Myanmar,NO,"Myanmar does not target an average marketing authorization approval timeline of six months or less, as the timelines for generic drugs range from 6 to 12 months and for new chemical entities, they can extend to 18 to 24 months.","https://credevo.com/articles/2021/01/25/myanmar-generic-drug-registration-process/?utm_source=openai,https://doczz.net/doc/8519955/southeast-asia-regulatory-landscape--part-2-?utm_source=openai,https://www.researchgate.net/publication/369416351_A_Study_of_Pharmaceutical_Product_Registration_Process_in_Myanmar_-A_First_Step_Towards_Developing_A_Product-Mix?utm_source=openai"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Myanmar,NO,"Myanmar does not impose hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products, which are available over the counter in both public and private sectors, contributing to concerns about resistance.","https://www.mdpi.com/2414-6366/6/2/70?utm_source=openai,https://www.wma.net/wmj_2023_04_final2/?utm_source=openai,https://pmc.ncbi.nlm.nih.gov/articles/PMC8167548/?utm_source=openai"
